2012	mens-road-race-individual	Gold	KAZ	Aleksandr Vinokurov	aleksandr-vinokurov-1	http://www.sports-reference.com/olympics/athletes/vi/aleksandr-vinokurov-1.html
2012	mens-road-race-individual	Silver	COL	Rigoberto UrÃ¡n	rigoberto-uran-1	http://www.sports-reference.com/olympics/athletes/ur/rigoberto-uran-1.html
2012	mens-road-race-individual	Bronze	NOR	Alexander Kristoff	alexander-kristoff-1	http://www.sports-reference.com/olympics/athletes/kr/alexander-kristoff-1.html
2008	mens-road-race-individual	Gold	ESP	Samuel SÃ¡nchez	samuel-sanchez-1	http://www.sports-reference.com/olympics/athletes/sa/samuel-sanchez-1.html
2008	mens-road-race-individual	Silver	SUI	Fabian Cancellara	fabian-cancellara-1	http://www.sports-reference.com/olympics/athletes/ca/fabian-cancellara-1.html
2008	mens-road-race-individual	Bronze	RUS	Aleksandr Kolobnev	aleksandr-kolobnev-1	http://www.sports-reference.com/olympics/athletes/ko/aleksandr-kolobnev-1.html
2004	mens-road-race-individual	Gold	ITA	Paolo Bettini	paolo-bettini-1	http://www.sports-reference.com/olympics/athletes/be/paolo-bettini-1.html
2004	mens-road-race-individual	Silver	POR	SÃ©rgio Paulinho	sergio-paulinho-1	http://www.sports-reference.com/olympics/athletes/pa/sergio-paulinho-1.html
2004	mens-road-race-individual	Bronze	BEL	Axel Merckx	axel-merckx-1	http://www.sports-reference.com/olympics/athletes/me/axel-merckx-1.html
2000	mens-road-race-individual	Gold	GER	Jan Ullrich	jan-ullrich-1	http://www.sports-reference.com/olympics/athletes/ul/jan-ullrich-1.html
2000	mens-road-race-individual	Silver	KAZ	Aleksandr Vinokurov	aleksandr-vinokurov-1	http://www.sports-reference.com/olympics/athletes/vi/aleksandr-vinokurov-1.html
2000	mens-road-race-individual	Bronze	GER	Andreas KlÃ¶den	andreas-kloden-1	http://www.sports-reference.com/olympics/athletes/kl/andreas-kloden-1.html
1996	mens-road-race-individual	Gold	SUI	Pascal Richard	pascal-richard-1	http://www.sports-reference.com/olympics/athletes/ri/pascal-richard-1.html
1996	mens-road-race-individual	Silver	DEN	Rolf SÃ¸rensen	rolf-sorensen-1	http://www.sports-reference.com/olympics/athletes/so/rolf-sorensen-1.html
1996	mens-road-race-individual	Bronze	GBR	Max Sciandri	max-sciandri-1	http://www.sports-reference.com/olympics/athletes/sc/max-sciandri-1.html
1992	mens-road-race-individual	Gold	ITA	Fabio Casartelli	fabio-casartelli-1	http://www.sports-reference.com/olympics/athletes/ca/fabio-casartelli-1.html
1992	mens-road-race-individual	Silver	NED	Erik Dekker	erik-dekker-1	http://www.sports-reference.com/olympics/athletes/de/erik-dekker-1.html
1992	mens-road-race-individual	Bronze	LAT	Dainis Ozols	dainis-ozols-1	http://www.sports-reference.com/olympics/athletes/oz/dainis-ozols-1.html
1988	mens-road-race-individual	Gold	GDR	Olaf Ludwig	olaf-ludwig-1	http://www.sports-reference.com/olympics/athletes/lu/olaf-ludwig-1.html
1988	mens-road-race-individual	Silver	FRG	Bernd GrÃ¶ne	bernd-grone-1	http://www.sports-reference.com/olympics/athletes/gr/bernd-grone-1.html
1988	mens-road-race-individual	Bronze	FRG	Christian Henn	christian-henn-1	http://www.sports-reference.com/olympics/athletes/he/christian-henn-1.html
1984	mens-road-race-individual	Gold	USA	Alexi Grewal	alexi-grewal-1	http://www.sports-reference.com/olympics/athletes/gr/alexi-grewal-1.html
1984	mens-road-race-individual	Silver	CAN	Steve Bauer	steve-bauer-1	http://www.sports-reference.com/olympics/athletes/ba/steve-bauer-1.html
1984	mens-road-race-individual	Bronze	NOR	Dag Otto Lauritzen	dag-otto-lauritzen-1	http://www.sports-reference.com/olympics/athletes/la/dag-otto-lauritzen-1.html
